timestamp,experiment,phase,budget,task,horizon,timescale,script_path,run_type,status,duration_seconds,val_loss,test_accuracy,hyperparameters,error_message,thermal_max_temp,data_md5,d_model,n_layers,n_heads,d_ff,param_count
,phase6a_2M_h1_threshold_1pct,phase6a,2M,threshold_1pct,1,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a/hpo_2M_h1_threshold_1pct.py,hpo,success,1366.1685001850128,0.3199377059936523,,"{""arch_idx"": 60, ""learning_rate"": 0.00022956391165989245, ""epochs"": 75, ""weight_decay"": 0.0048330269127838015, ""warmup_steps"": 500, ""dropout"": 0.29827802492033506}",,,,64,48,2,256,2417473
,phase6a_2M_h3_threshold_1pct,phase6a,2M,threshold_1pct,3,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a/hpo_2M_h3_threshold_1pct.py,hpo,success,1364.287547826767,0.263041228055954,,"{""arch_idx"": 0, ""learning_rate"": 0.0009970256334042667, ""epochs"": 50, ""weight_decay"": 0.0006994481417427528, ""warmup_steps"": 100, ""dropout"": 0.10239409387719026}",,,,64,32,2,256,1617729
,phase6a_2M_h5_threshold_1pct,phase6a,2M,threshold_1pct,5,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a/hpo_2M_h5_threshold_1pct.py,hpo,success,1279.538624048233,0.3370841443538666,,"{""arch_idx"": 48, ""learning_rate"": 0.0008223723271535408, ""epochs"": 100, ""weight_decay"": 0.0008547842435741046, ""warmup_steps"": 200, ""dropout"": 0.24330579317787954}",,,,64,64,16,128,2160449
,phase6a_20M_h1_threshold_1pct,phase6a,20M,threshold_1pct,1,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a/hpo_20M_h1_threshold_1pct.py,hpo,success,5430.430625915527,0.3482540547847748,,"{""arch_idx"": 73, ""learning_rate"": 0.0005958797875456421, ""epochs"": 50, ""weight_decay"": 0.0010409666436392707, ""warmup_steps"": 100, ""dropout"": 0.13564532163530688}",,,,128,180,16,256,23882881
,phase6a_20M_h3_threshold_1pct,phase6a,20M,threshold_1pct,3,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a/hpo_20M_h3_threshold_1pct.py,hpo,success,2595.585644006729,0.3191487789154053,,"{""arch_idx"": 0, ""learning_rate"": 0.0005093171928445668, ""epochs"": 75, ""weight_decay"": 0.0004921313342327637, ""warmup_steps"": 200, ""dropout"": 0.27100113511669266}",,,,256,32,2,512,16940289
,phase6a_20M_h5_threshold_1pct,phase6a,20M,threshold_1pct,5,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a/hpo_20M_h5_threshold_1pct.py,hpo,success,9255.845639944077,0.3458277583122253,,"{""arch_idx"": 56, ""learning_rate"": 0.0004713833104054598, ""epochs"": 100, ""weight_decay"": 0.0011986081946373675, ""warmup_steps"": 100, ""dropout"": 0.13285322333070473}",,,,384,12,4,1536,21403009
,phase6a_200M_h1_threshold_1pct,phase6a,200M,threshold_1pct,1,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a/hpo_200M_h1_threshold_1pct.py,hpo,success,71337.65599703789,0.3564087748527527,,"{""arch_idx"": 46, ""learning_rate"": 0.0007768240778422702, ""epochs"": 75, ""weight_decay"": 0.0004449167439856691, ""warmup_steps"": 200, ""dropout"": 0.29843562559189923}",,,,384,96,4,1536,170457985
,phase6a_200M_h3_threshold_1pct,phase6a,200M,threshold_1pct,3,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a/hpo_200M_h3_threshold_1pct.py,hpo,success,52217.999803066254,0.3612414300441742,,"{""arch_idx"": 91, ""learning_rate"": 0.0006775654981949939, ""epochs"": 100, ""weight_decay"": 0.0003188166144734062, ""warmup_steps"": 100, ""dropout"": 0.20960800551419864}",,,,384,180,4,768,213206401
,phase6a_200M_h5_threshold_1pct,phase6a,200M,threshold_1pct,5,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a/hpo_200M_h5_threshold_1pct.py,hpo,success,26907.36660599709,0.3546899557113647,,"{""arch_idx"": 5, ""learning_rate"": 0.00028560222112243756, ""epochs"": 100, ""weight_decay"": 0.00023874506738378955, ""warmup_steps"": 300, ""dropout"": 0.23526272181481048}",,,,512,48,2,2048,151460353
,phase6a_2B_h1_threshold_1pct,phase6a,2B,threshold_1pct,1,daily,/Users/alexanderthomson/Documents/financial_ts_scaling/experiments/phase6a/hpo_2B_h1_resume.py,hpo,success,172478.45712304115,0.3608693182468414,,"{""arch_idx"": 15, ""learning_rate"": 0.00012622403128324442, ""epochs"": 50, ""weight_decay"": 0.00023606737555632276, ""warmup_steps"": 300, ""dropout"": 0.21391373068527791}",,,,1024,128,2,4096,1612608513
